ID,keywords,acountType,joinedDate,following,zFollowing,followers,zFollowers,location,tweet,translatedTweet,tweetType,datePosted,contentType,likes,zLikes,replies,zReplies,retweets,zRetweets,quotes,zQuotes,quotedTweet,tokens,stemTokens,lemmaTokens
11,"peso, weak, dollar, strong",Anonymous,2019-05-31T16:00:00.000Z,466,-0.19,410,-0.16,Unidentified,"its giving ""the peso is not weak because the peso is not weak, the peso is weak because the dollar is strong"" pt.2","its giving ""the peso is not weak because the peso is not weak, the peso is weak because the dollar is strong"" pt.3","Text,Quote",2022-11-05T15:06:00.000Z,Rational,16,-0.04,1,-0.11,0,-0.18,0,-0.11,https://twitter.com/iMPACTPH2019/status/1588793323464294400,"['giving', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'pt', '3']","['give', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'pt', '3']","['give', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'pt', '3']"
12,"peso, weak, dollar, strong",Anonymous,2021-01-31T16:00:00.000Z,114,-0.72,65,-0.16,Unidentified,"The peso is weak because the dollar is strong

F","The peso is weak because the dollar is strong

F","Text,Quote",2022-11-04T18:16:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/gmanews/status/1588336311752331265,"['peso', 'weak', 'dollar', 'strong', 'f']","['peso', 'weak', 'dollar', 'strong', 'f']","['peso', 'weak', 'dollar', 'strong', 'f']"
13,"peso, weak, dollar, strong",Anonymous,2021-09-30T16:00:00.000Z,349,-0.37,754,-0.16,Unidentified,Peso is weak not because it's weak. Peso is weak because  dollar is strong 💪💪🥴🥴,Peso is weak not because it's weak. Peso is weak because  dollar is strong 💪💪🥴🥴,"Text,Quote",2022-11-03T08:57:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/PhilippineStar/status/1588063740486115328,"['peso', 'weak', 'weak', 'peso', 'weak', 'dollar', 'strong', ':flexed_biceps:', ':flexed_biceps:', ':woozy_face:', ':woozy_face:']","['peso', 'weak', 'weak', 'peso', 'weak', 'dollar', 'strong', ':flexed_biceps:', ':flexed_biceps:', ':woozy_face:', ':woozy_face:']","['peso', 'weak', 'weak', 'peso', 'weak', 'dollar', 'strong', ':flexed_biceps:', ':flexed_biceps:', ':woozy_face:', ':woozy_face:']"
14,"peso, weak, dollar, strong",Identified,2009-07-31T16:00:00.000Z,413,-0.27,170,-0.16,Unidentified,hindi nga daw weak ung peso! strong nga lang daw ung dollar! kulet nyo powz 😆,the peso is not weak! the dollar is just strong! you are stubborn 😆,"Text,Quote",2022-11-03T08:00:00.000Z,Emotional,2,-0.13,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/PhilippineStar/status/1588063740486115328,"['peso', 'weak', 'dollar', 'strong', 'stubborn', ':grinning_squinting_face:']","['peso', 'weak', 'dollar', 'strong', 'stubborn', ':grinning_squinting_face:']","['peso', 'weak', 'dollar', 'strong', 'stubborn', ':grinning_squinting_face:']"
15,"peso, weak, dollar, strong",Anonymous,2013-12-31T16:00:00.000Z,1338,1.11,2863,-0.15,Philippines,The peso is weak not because the peso is weak . It is because the dollar is strong.. 🥴🫢🫣🤔🥱,The peso is weak not because the peso is weak . It is because the dollar is strong.. 🥴🫢🫣🤔🥱,"Text,Quote",2022-11-03T07:35:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/cnnphilippines/status/1588063808441810944,"['peso', 'weak', 'peso', 'weak', 'dollar', 'strong', ':woozy_face:', ':face_with_open_eyes_and_hand_over_mouth:', ':face_with_peeking_eye:', ':thinking_face:', ':yawning_face:']","['peso', 'weak', 'peso', 'weak', 'dollar', 'strong', ':woozy_face:', ':face_with_open_eyes_and_hand_over_mouth:', ':face_with_peeking_eye:', ':thinking_face:', ':yawning_face:']","['peso', 'weak', 'peso', 'weak', 'dollar', 'strong', ':woozy_face:', ':face_with_open_eyes_and_hand_over_mouth:', ':face_with_peeking_eye:', ':thinking_face:', ':yawning_face:']"
16,"peso, weak, dollar, strong",Identified,2012-10-31T16:00:00.000Z,362,-0.35,254,-0.16,Unidentified,"Baguhin dapat nila wording:

FROM ""due to the weakening of the peso""
TO ""due to the strengthening of the dollar""

Kasi diba the peso is weak because the dollar is strong? Hahahahaha","They should change the wording:

FROM ""due to the weakening of the peso""
TO ""due to the strengthening of the dollar""

Since the peso is weak because the dollar is strong, right? Hahahahaha","Text,Quote",2022-11-03T07:08:00.000Z,"Rational, Emotional",1,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/cnnphilippines/status/1588063808441810944,"['change', 'wording', 'due', 'weakening', 'peso', 'due', 'strengthening', 'dollar', 'since', 'peso', 'weak', 'dollar', 'strong', 'right', 'hahahahaha']","['chang', 'word', 'due', 'weaken', 'peso', 'due', 'strengthen', 'dollar', 'sinc', 'peso', 'weak', 'dollar', 'strong', 'right', 'hahahahaha']","['change', 'word', 'due', 'weaken', 'peso', 'due', 'strengthen', 'dollar', 'since', 'peso', 'weak', 'dollar', 'strong', 'right', 'hahahahaha']"
17,"peso, weak, dollar, strong",Anonymous,2022-03-31T16:00:00.000Z,62,-0.79,9,-0.16,Unidentified,me when the peso is not weak because peso is weak peso is weak because dollar is strong,me when the peso is not weak because peso is weak peso is weak because dollar is strong,"Text,Quote",2022-11-01T13:44:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/dontstartswift/status/1587421653688000515,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
18,"peso, weak, dollar, strong",Anonymous,2021-02-28T16:00:00.000Z,146,-0.67,7,-0.16,Unidentified,Grabe nanaman kayo ang sasama niyo alam niyo namang The peso in not weak because the dollar is strong The dollar is strong because the peso is weak,You are all so mean you do know that The peso is not weak because the dollar is strong The dollar is strong because the peso is weak,"Text,Quote",2022-10-31T13:49:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/_mo4d_/status/1586641067256205312,"['mean', 'know', 'peso', 'weak', 'dollar', 'strong', 'dollar', 'strong', 'peso', 'weak']","['mean', 'know', 'peso', 'weak', 'dollar', 'strong', 'dollar', 'strong', 'peso', 'weak']","['mean', 'know', 'peso', 'weak', 'dollar', 'strong', 'dollar', 'strong', 'peso', 'weak']"
19,"peso, weak, dollar, strong",Anonymous,2018-07-31T16:00:00.000Z,435,-0.24,590,-0.16,Unidentified,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,"Text,Quote",2022-10-31T10:03:00.000Z,Rational,1,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/markgeronimo_/status/1586974879072428032,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
20,"peso, weak, dollar, strong",Anonymous,2021-04-30T16:00:00.000Z,759,0.25,117,-0.16,Unidentified,"More like wala na kasing natural gas sa Malampaya at kailangan na nating umangkat. Yun lang the peso is weak because the dollar is strong.

Energy crisis is imminent.","It's more like there is no natural gas in Malampaya and we need to import. That's it the peso is weak because the dollar is strong.

Energy crisis is imminent.","Text,Quote",2022-10-30T09:40:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/heartofemmaus/status/1581670046790606848,"['like', 'natural', 'gas', 'malampaya', 'need', 'import', 'thats', 'peso', 'weak', 'dollar', 'strong', 'energy', 'crisis', 'imminent']","['like', 'natur', 'gas', 'malampaya', 'need', 'import', 'that', 'peso', 'weak', 'dollar', 'strong', 'energi', 'crisi', 'immin']","['like', 'natural', 'gas', 'malampaya', 'need', 'import', 'thats', 'peso', 'weak', 'dollar', 'strong', 'energy', 'crisis', 'imminent']"
21,"peso, weak, dollar, strong",Anonymous,2022-08-31T16:00:00.000Z,985,0.58,810,-0.16,Unidentified,"#NewProfilePic the peso is not weak because the peso is weak 

The peso is weak because the dollar is strong https://t.co/CllX7I6lbQ","#NewProfilePic the peso is not weak because the peso is weak 

The peso is weak because the dollar is strong https://t.co/CllX7I6lbQ","Text,Image",2022-10-30T04:34:00.000Z,Rational,3,-0.12,0,-0.13,0,-0.18,1,-0.1,None,"['newprofilepic', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['newprofilep', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['newprofilepic', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
22,"peso, weak, dollar, strong",Anonymous,2012-05-31T16:00:00.000Z,472,-0.18,20,-0.16,Philippines,The Peso is not weak because the dollar is strong. The President is not weak because the typhoon is strong. 😀🤔🤭,The Peso is not weak because the dollar is strong. The President is not weak because the typhoon is strong. 😀🤔🤭,"Text,Quote",2022-10-30T03:32:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/inquirerdotnet/status/1586281728968380416,"['peso', 'weak', 'dollar', 'strong', 'president', 'weak', 'typhoon', 'strong', ':grinning_face:', ':thinking_face:', ':face_with_hand_over_mouth:']","['peso', 'weak', 'dollar', 'strong', 'presid', 'weak', 'typhoon', 'strong', ':grinning_face:', ':thinking_face:', ':face_with_hand_over_mouth:']","['peso', 'weak', 'dollar', 'strong', 'president', 'weak', 'typhoon', 'strong', ':grinning_face:', ':thinking_face:', ':face_with_hand_over_mouth:']"
23,"peso, weak, dollar, strong",Anonymous,2021-12-31T16:00:00.000Z,151,-0.66,177,-0.16,Unidentified,The peso is not weak because the peso is weak the peso is weak because the dollar is strong,The peso is not weak because the peso is weak the peso is weak because the dollar is strong,Text,2022-10-27T07:52:00.000Z,Rational,1,-0.14,0,-0.13,1,-0.12,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
24,"peso, weak, dollar, strong",Anonymous,2022-07-31T16:00:00.000Z,50,-0.81,45,-0.16,Unidentified,"bru all i know for gen info is that the peso is not weak because the peso is weak, the peso is weak because the dollar is strong","bru all i know for gen info is that the peso is not weak because the peso is weak, the peso is weak because the dollar is strong",Text,2022-10-26T21:08:00.000Z,Rational,4,-0.12,0,-0.13,0,-0.18,0,-0.11,None,"['bru', 'know', 'gen', 'info', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['bru', 'know', 'gen', 'info', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['bru', 'know', 'gen', 'info', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
25,"peso, weak, dollar, strong",Anonymous,2020-09-30T16:00:00.000Z,291,-0.45,53,-0.16,Unidentified,"the peso isn't weak because the peso is weak, the peso is weak because the dollar is strong","the peso isn't weak because the peso is weak, the peso is weak because the dollar is strong","Text,Quote",2022-10-24T16:04:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/Suno0o0o0o/status/1584479683848335360,"['peso', 'isnt', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'isnt', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'isnt', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
26,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,337,-0.38,109,-0.16,Unidentified,"FPLBM: Our economy is strong. It's the other nations' economies that are weak that affected ours.

Sandra: The Peso is not weak because it is weak. The Peso is weak because the US Dollar is strong.

Babaeng Ahas: Ang galing ng mag-ama ko.

Creative Scriptwriter: Beli gud.","FPLBM: Our economy is strong. It's the other nations' economies that are weak that affected ours.

Sandra: The Peso is not weak because it is weak. The Peso is weak because the US Dollar is strong.

Snake Girl: My husband and son is excellent.

Creative Scriptwriter: Beli gud.","Text,Quote",2022-10-24T03:44:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/News5PH/status/1584111910714150912,"['fplbm', 'economy', 'strong', 'nations', 'economies', 'weak', 'affected', 'sandra', 'peso', 'weak', 'weak', 'peso', 'weak', 'us', 'dollar', 'strong', 'snake', 'girl', 'husband', 'son', 'excellent', 'creative', 'scriptwriter', 'beli', 'gud']","['fplbm', 'economi', 'strong', 'nation', 'economi', 'weak', 'affect', 'sandra', 'peso', 'weak', 'weak', 'peso', 'weak', 'us', 'dollar', 'strong', 'snake', 'girl', 'husband', 'son', 'excel', 'creativ', 'scriptwrit', 'beli', 'gud']","['fplbm', 'economy', 'strong', 'nations', 'economies', 'weak', 'affect', 'sandra', 'peso', 'weak', 'weak', 'peso', 'weak', 'us', 'dollar', 'strong', 'snake', 'girl', 'husband', 'son', 'excellent', 'creative', 'scriptwriter', 'beli', 'gud']"
27,"peso, weak, dollar, strong",Media,2009-04-30T16:00:00.000Z,377,-0.32,51808,-0.06,Philippines,The peso is weak because the dollar is strong.,The peso is weak because the dollar is strong.,"Text,Quote",2022-10-24T02:10:00.000Z,Rational,3,-0.12,1,-0.11,0,-0.18,0,-0.11,https://twitter.com/prinzmagtulis/status/1584364590225231872,"['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']"
28,"peso, weak, dollar, strong",Anonymous,2020-08-31T16:00:00.000Z,55,-0.81,35,-0.16,Unidentified,hi @.gaon at @.hyunjin chat naman kayo sakin sayang 428 php ko alam niyo namang the peso is not weak because the peso is weak. the peso is weak because the dollar is strong */nagtampo,hi @.gaon and @.hyunjin message me please my 428 php is wasted you guys do know that the peso is not weak because the peso is weak. the peso is weak because the dollar is strong */sulked,Text,2022-10-22T15:29:00.000Z,Emotional,1,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['hi', 'gaon', 'hyunjin', 'message', 'please', '428', 'php', 'wasted', 'guys', 'know', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'sulked']","['hi', 'gaon', 'hyunjin', 'messag', 'pleas', '428', 'php', 'wast', 'guy', 'know', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'sulk']","['hi', 'gaon', 'hyunjin', 'message', 'please', '428', 'php', 'waste', 'guy', 'know', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong', 'sulk']"
29,"peso, weak, dollar, strong",Anonymous,2021-11-30T16:00:00.000Z,475,-0.18,582,-0.16,Unidentified,"sa letrang t

the peso is weak not because the peso is weak. The peso is weak because the dollar is strong.","in letter t

the peso is weak not because the peso is weak. The peso is weak because the dollar is strong.",Text,2022-10-22T14:12:00.000Z,Rational,2,-0.13,0,-0.13,0,-0.18,0,-0.11,None,"['letter', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['letter', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['letter', 'peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
30,"peso, weak, dollar, strong",Anonymous,2018-06-30T16:00:00.000Z,40,-0.83,305,-0.16,Unidentified,"its giving me peso is weak because the dollar is strong 😔
#MissQandAQueenfinityWar","its giving me peso is weak because the dollar is strong 😔
#MissQandAQueenfinityWar",Text,2022-10-22T05:53:00.000Z,Emotional,0,-0.14,1,-0.11,0,-0.18,0,-0.11,None,"['giving', 'peso', 'weak', 'dollar', 'strong', ':pensive_face:', 'missqandaqueenfinitywar']","['give', 'peso', 'weak', 'dollar', 'strong', ':pensive_face:', 'missqandaqueenfinitywar']","['give', 'peso', 'weak', 'dollar', 'strong', ':pensive_face:', 'missqandaqueenfinitywar']"
31,"peso, weak, dollar, strong",Anonymous,2020-12-31T16:00:00.000Z,1178,0.87,1357,-0.16,Philippines,the peso is weak because the dollar is strong,the peso is weak because the dollar is strong,Text,2022-10-21T00:36:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None,"['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']"
32,"peso, weak, dollar, strong",Identified,2020-10-31T16:00:00.000Z,48,-0.82,59,-0.16,Unidentified,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,Text,2022-10-20T14:30:00.000Z,Rational,0,-0.14,1,-0.11,0,-0.18,0,-0.11,None,"['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'peso', 'weak', 'peso', 'weak', 'dollar', 'strong']"
33,"peso, weak, dollar, strong",Anonymous,2011-06-30T16:00:00.000Z,2319,2.57,2718,-0.15,Unidentified,"""The peso is weak because the dollar is strong” https://t.co/rXpDfsCIuw","""The peso is weak because the dollar is strong” https://t.co/rXpDfsCIuw","Text,Image",2022-10-20T13:16:00.000Z,Rational,8,-0.09,1,-0.11,0,-0.18,0,-0.11,None,"['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']"
34,"peso, weak, dollar, strong",Anonymous,2021-04-30T16:00:00.000Z,1290,1.04,1374,-0.16,Unidentified,it's not that the peso is weak. it's just that the dollar is strong https://t.co/UaAs1W29tL,it's not that the peso is weak. it's just that the dollar is strong https://t.co/UaAs1W29tL,"Text,Image",2022-10-20T07:55:00.000Z,Rational,9,-0.09,1,-0.11,0,-0.18,0,-0.11,None,"['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']","['peso', 'weak', 'dollar', 'strong']"
